,Date,Gold,Zinc,Platinum,Silver,Tin,Copper,Year,Month,Date
299,1984M12,319.54,859.7,304.13,6.64,11722.2,1321.1,1984,12,1984M12
300,1985M01,302.79,867.1,274.39,6.1,11073.4,1359.1,1985,1,1985M01
301,1985M02,299.1,886.6,269.4,6.06,10946,1388.5,1985,2,1985M02
302,1985M03,313.5,920.9,260.76,5.99,11210.6,1389.9,1985,3,1985M03
303,1985M04,326.8,931.3,282.72,6.44,11806.4,1501.8,1985,4,1985M04
304,1985M05,316,881.3,272.38,6.27,11909.8,1530.6,1985,5,1985M05
305,1985M06,316.5,808,267.8,6.18,12385.8,1432.4,1985,6,1985M06
306,1985M07,317.2,766.8,268.91,6,12755.8,1474.6,1985,7,1985M07
307,1985M08,330.4,735.1,307.8,6.15,12647.2,1420.2,1985,8,1985M08
308,1985M09,323.35,689.5,311.15,6.05,12325.2,1366.4,1985,9,1985M09
309,1985M10,325.85,631.9,323.46,6.18,12391.1,1384.7,1985,10,1985M10
310,1985M11,321.5,597.5,334.4,6.1,9903.2,1369.5,1985,11,1985M11
311,1985M12,321.9,685.3,336.82,5.85,9114,1390.9,1985,12,1985M12
312,1986M01,347.48,644,363.76,6.02,7910,1418.3,1986,1,1986M01
313,1986M02,338.89,608.7,376.04,5.86,7922.9,1405.5,1986,2,1986M02
314,1986M03,345.7,625.7,413.64,5.62,7313.6,1445.1,1986,3,1986M03
315,1986M04,340.44,659.9,418.39,5.19,5686.1,1434.6,1986,4,1986M04
316,1986M05,342.4,707.3,413.62,5.07,5474.2,1418.74,1986,5,1986M05
317,1986M06,342.7,804.2,432.49,5.13,5378.3,1413.14,1986,6,1986M06
318,1986M07,348.34,807.1,438.8,5.03,5386.6,1344.3,1986,7,1986M07
319,1986M08,376.66,816,540.33,5.18,5404.3,1303.1,1986,8,1986M08
320,1986M09,417.73,871.1,604.48,5.63,5397.2,1347,1986,9,1986M09
321,1986M10,423.51,886.2,581.25,5.64,5542.8,1316.8,1986,10,1986M10
322,1986M11,397.56,820,517.07,5.55,6092.3,1303.2,1986,11,1986M11
323,1986M12,390.92,798.2,480.61,5.35,6428.1,1335.6,1986,12,1986M12
324,1987M01,408.26,759.7,515.97,5.51,6712.7,1346,1987,1,1987M01
325,1987M02,401.12,740.4,517.86,5.48,6688.4,1379.83,1987,2,1987M02
326,1987M03,408.91,731.6,532.63,5.66,6631.5,1465.72,1987,3,1987M03
327,1987M04,438.35,761.9,585.65,7.35,6699.8,1484.24,1987,4,1987M04
328,1987M05,460.23,838.7,606.73,8.46,6747.4,1520.44,1987,5,1987M05
329,1987M06,449.59,878.4,569,7.42,6610.4,1571.87,1987,6,1987M06
330,1987M07,450.52,829.8,572.35,7.61,6404.9,1694.62,1987,7,1987M07
331,1987M08,461.15,804.1,609.92,7.84,6556.1,1756.31,1987,8,1987M08
332,1987M09,460.38,756.7,590,7.61,6406.3,1811.01,1987,9,1987M09
